,time,open,high,low,close,vwap,volume,count
363,2020-08-24 02:00:00,77.727,77.727,76.402,76.402,76.598,290.92678354,43.0
364,2020-08-24 03:00:00,76.402,76.402,75.872,76.271,76.221,6.8038136,9.0
365,2020-08-24 04:00:00,76.271,77.112,76.271,77.112,76.719,166.60391207,34.0
366,2020-08-24 05:00:00,77.112,77.986,77.112,77.956,77.496,9.66101598,6.0
367,2020-08-24 06:00:00,77.956,77.956,77.722,77.722,77.722,0.80505625,1.0
368,2020-08-24 07:00:00,77.722,77.722,77.611,77.611,77.611,0.15461725,1.0
369,2020-08-24 08:00:00,77.611,78.04,77.341,78.04,77.884,6.69120627,14.0
370,2020-08-24 09:00:00,78.04,78.356,77.708,77.708,78.047,172.73245143,46.0
371,2020-08-24 10:00:00,77.708,77.851,77.56,77.679,77.666,126.04473114,38.0
372,2020-08-24 11:00:00,77.679,77.679,77.493,77.493,77.592,1.36052364,3.0
373,2020-08-24 12:00:00,77.493,77.883,77.493,77.883,77.822,12.02754,8.0
374,2020-08-24 13:00:00,77.883,78.928,77.883,78.783,78.684,15.94439527,20.0
375,2020-08-24 14:00:00,78.445,78.643,77.359,77.897,78.043,79.33426232,90.0
376,2020-08-24 15:00:00,77.878,77.996,77.722,77.939,77.822,55.9338389,62.0
377,2020-08-24 16:00:00,77.933,77.933,77.291,77.291,77.463,108.0152548,41.0
378,2020-08-24 17:00:00,77.291,77.492,77.037,77.376,77.179,85.67414715,48.0
379,2020-08-24 18:00:00,77.464,78.329,77.15,78.022,77.468,61.89473722,34.0
380,2020-08-24 19:00:00,78.018,78.377,77.88,78.331,78.041,80.75204423,39.0
381,2020-08-24 20:00:00,78.304,78.337,77.457,77.575,77.91,74.55015941,39.0
382,2020-08-24 21:00:00,77.664,77.811,76.79,77.804,77.208,91.32092744,52.0
383,2020-08-24 22:00:00,77.804,77.804,77.373,77.48,77.527,25.55131925,33.0
384,2020-08-24 23:00:00,77.4,77.999,77.316,77.809,77.826,11.6025134,21.0
385,2020-08-25 00:00:00,77.809,77.998,77.809,77.998,77.998,0.35542107,1.0
386,2020-08-25 01:00:00,77.998,77.998,77.224,77.971,77.525,155.12158452,22.0
387,2020-08-25 02:00:00,77.983,77.983,77.112,77.112,77.418,50.75534093,67.0
388,2020-08-25 03:00:00,77.106,77.22,76.969,76.97,77.074,32.48938068,44.0
389,2020-08-25 04:00:00,77.107,77.107,75.922,76.135,76.699,104.53207888,81.0
390,2020-08-25 05:00:00,76.146,76.337,75.864,76.115,76.195,52.43390151,29.0
391,2020-08-25 06:00:00,76.076,76.21,75.817,76.113,75.96,52.72558178,38.0
392,2020-08-25 07:00:00,76.097,76.396,76.097,76.347,76.285,24.37986157,28.0
393,2020-08-25 08:00:00,76.216,76.216,75.401,75.507,75.934,133.081385,50.0
394,2020-08-25 09:00:00,75.591,75.63,75.174,75.308,75.381,53.56840049,47.0
395,2020-08-25 10:00:00,75.455,76.07,74.95,75.814,75.345,76.65377743,64.0
396,2020-08-25 11:00:00,75.799,76.019,75.691,75.926,75.843,20.00462361,32.0
397,2020-08-25 12:00:00,75.905,76.436,75.783,76.436,76.229,15.81160817,21.0
398,2020-08-25 13:00:00,76.436,76.482,75.87,75.951,76.144,40.27008892,18.0
399,2020-08-25 14:00:00,75.951,75.951,75.0,75.322,75.143,76.83087368,25.0
400,2020-08-25 15:00:00,75.322,75.322,74.366,74.676,74.794,195.52826315,63.0
401,2020-08-25 16:00:00,74.676,74.676,73.764,74.3,74.129,163.83490745,55.0
402,2020-08-25 17:00:00,74.08,74.237,73.165,73.934,73.719,86.14427758,46.0
403,2020-08-25 18:00:00,73.934,74.07,71.033,71.818,72.119,325.30240383,105.0
404,2020-08-25 19:00:00,71.818,72.286,70.663,70.86,71.469,249.6132455,133.0
405,2020-08-25 20:00:00,70.86,71.964,70.144,71.789,70.985,383.54468637,121.0
406,2020-08-25 21:00:00,71.789,71.799,71.371,71.371,71.522,129.50162999,38.0
407,2020-08-25 22:00:00,71.371,71.56,70.73,70.73,71.248,28.88083414,15.0
408,2020-08-25 23:00:00,70.73,71.371,70.73,71.371,71.28,56.6407196,13.0
409,2020-08-26 00:00:00,71.378,72.103,71.378,72.103,71.927,98.25927106,27.0
410,2020-08-26 01:00:00,72.103,72.103,71.854,72.024,71.983,2.67264485,5.0
411,2020-08-26 02:00:00,71.509,71.695,71.069,71.069,71.483,23.84005766,11.0
412,2020-08-26 03:00:00,71.069,72.051,71.069,72.05,71.822,18.71692897,10.0
413,2020-08-26 04:00:00,72.05,72.488,71.844,72.488,72.075,5.43675396,7.0
414,2020-08-26 05:00:00,72.488,72.488,71.295,72.047,71.833,586.42141788,48.0
415,2020-08-26 06:00:00,72.047,72.719,72.047,72.223,72.463,84.28381896,17.0
416,2020-08-26 07:00:00,72.223,72.681,72.223,72.681,72.628,28.89898374,11.0
417,2020-08-26 08:00:00,72.681,72.681,71.737,72.254,72.16,42.33548935,15.0
418,2020-08-26 09:00:00,72.254,72.449,71.649,72.327,72.284,79.10658206,21.0
419,2020-08-26 10:00:00,72.327,72.637,71.908,71.911,72.523,105.8005137,31.0
420,2020-08-26 11:00:00,72.418,72.667,72.082,72.548,72.282,130.30205095,43.0
421,2020-08-26 12:00:00,72.548,73.281,72.548,73.231,73.036,30.66662555,23.0
422,2020-08-26 13:00:00,73.231,73.784,73.231,73.753,73.558,34.77021858,13.0
423,2020-08-26 14:00:00,73.283,73.465,72.5,72.82,73.147,24.79160657,24.0
424,2020-08-26 15:00:00,72.82,73.549,72.265,73.549,72.614,59.51336654,19.0
425,2020-08-26 16:00:00,73.549,74.298,73.408,73.866,73.99,182.52279135,69.0
426,2020-08-26 17:00:00,73.866,74.138,73.789,73.789,74.039,19.36760153,8.0
427,2020-08-26 18:00:00,73.789,73.828,73.391,73.391,73.684,27.59221376,17.0
428,2020-08-26 19:00:00,73.391,73.55,73.237,73.375,73.461,35.10291422,17.0
429,2020-08-26 20:00:00,73.375,73.581,73.2,73.2,73.299,21.28067584,14.0
430,2020-08-26 21:00:00,73.2,73.8,73.2,73.8,73.643,19.95220931,8.0
431,2020-08-26 22:00:00,73.8,73.8,73.266,73.462,73.371,187.24941467,33.0
432,2020-08-26 23:00:00,73.462,73.468,73.187,73.328,73.29,36.46935452,22.0
433,2020-08-27 00:00:00,73.328,73.364,72.5,72.5,72.701,96.22264704,25.0
434,2020-08-27 01:00:00,72.5,72.735,72.5,72.73,72.709,13.17603905,9.0
435,2020-08-27 02:00:00,72.661,73.285,72.661,73.029,72.959,23.98416564,12.0
436,2020-08-27 03:00:00,73.029,73.029,72.249,72.249,72.497,13.50681948,6.0
437,2020-08-27 04:00:00,72.249,72.432,72.056,72.056,72.282,43.763767,17.0
438,2020-08-27 05:00:00,72.056,72.201,72.056,72.171,72.194,20.741024,7.0
